label;nz;tf;TF;entropy
archipelago;36;76;76;4.333393167721228
architect;89;137;137;5.981733155902934
architecture;73;104;104;5.863156964106251
archive;25;39;39;4.240405103422159
area;416;1342;1342;6.690103126964689
arena;11;15;15;3.3232314287976203
arenes;8;10;10;2.8464393446710154
argon;84;130;130;5.9205789713575445
argot;9;13;13;2.931208948910323
argument;107;207;207;6.093581745939899
argumentation;5;5;5;2.3219280948873626
aristocracy;23;35;35;4.054721860532485
aristocrat;12;14;14;3.4677201004745006
arithmetic;24;29;29;4.461092201874919
arithmetician;5;5;5;2.3219280948873626
arm;41;61;61;5.09911346947763
armament;10;12;12;3.2516291673878226
armor;25;33;33;4.5366702556565315
armour;13;17;17;3.4045428133422924
arms;29;39;39;4.609388681000702
army;417;1099;1099;7.155052117227688
aromatic;4;5;5;1.9219280948873623
aromatization;5;5;5;2.3219280948873626
arowana;4;5;5;1.9219280948873623
arraignment;24;28;28;4.4946803684089085
arrangement;95;141;141;6.149553765227161
arranger;7;7;7;2.807354922057604
array;48;83;83;5.225833672488444
arrest;20;24;24;4.220175521464346
arrhythmia;8;8;8;3.0
arrival;42;90;90;4.76505316031521
arrogation;7;7;7;2.807354922057604
arrow;19;25;25;4.163856189774723
arsenal;12;13;13;3.5465935642949384
arsenate;16;19;19;3.9321380397593764
arsenates;4;5;5;1.9219280948873623
arsenic;67;104;104;5.635680998728358
arsenide;9;12;12;3.0849625007211556
arsenite;6;6;6;2.584962500721156
arsenopyrite;9;9;9;3.169925001442312
art;227;472;472;6.8346696384007455
artemisia;4;4;4;2.0
artery;15;18;18;3.794653473544342
arthritides;9;9;9;3.169925001442312
arthritis;47;69;69;5.184631616751291
article;197;438;438;6.399229559528569
artifact;39;50;50;5.133660689688187
artillery;20;24;24;4.220175521464345
artisan;14;14;14;3.8073549220576055
artist;148;243;243;6.532787333214556
artiste;6;6;6;2.584962500721156
arts;53;109;109;4.859279983534673
artwork;18;23;23;3.9318384571684564
arylation;5;5;5;2.3219280948873626
ascendancy;8;9;9;2.94770277922009
ascension;10;12;12;3.2516291673878226
ascent;7;12;12;2.292481250360578
asceticism;12;12;12;3.584962500721156
ash;60;136;136;4.970077919683591
asparagus;8;8;8;3.0
aspect;113;233;233;5.822080491817643
asphalt;57;84;84;5.413283720903434
asphalte;10;11;11;3.2776134368191165
asphaltum;4;5;5;1.9219280948873623
asphyxiant;4;6;6;1.9182958340544896
aspiration;33;40;40;4.93418371977919
aspirin;102;193;193;5.9849982997278985
ass;11;17;17;3.292770193936991
assassin;14;18;18;3.6835423624332306
assassination;37;78;78;4.437556733738842
assault;77;154;154;5.669682497262278
assembler;75;128;128;5.85544145731236
assembly;70;167;167;5.0579988418154285
assertion;28;36;36;4.648955904159992
assessment;16;20;20;3.884183719779189
asset;22;22;22;4.459431618637295
assignment;32;36;36;4.892147223664533
assimilation;5;5;5;2.3219280948873626
assistance;46;92;92;5.0921425596253735
assistant;33;45;45;4.7748605961854445
associate;35;41;41;5.064869077788814
association;72;133;133;5.7024296879129315
assumption;50;81;81;5.1388103422038265
assurance;7;9;9;2.725480556997868
astatine;23;46;46;4.131407607854671
aster;6;6;6;2.584962500721156
asteroid;141;261;261;6.493180826060682
asthma;5;9;9;2.2810361125534238
astrolabe;7;7;7;2.807354922057604
astrologer;5;5;5;2.3219280948873626
astrology;14;16;16;3.75
astrometry;12;16;16;3.4056390622295662
astronaut;101;160;160;5.808221735191207
astronomer;105;163;163;6.176906148537618
astronomy;49;85;85;5.054224163022674
astrophotography;7;8;8;2.75
astrophysics;7;8;8;2.75
asylum;15;23;23;3.653996738665709
ataxia;42;72;72;5.108763501526924
atemi;10;10;10;3.321928094887362
atheism;9;10;10;3.1219280948873624
atheist;15;20;20;3.6841837197791887
athlete;15;17;17;3.8521687236032816
athletics;4;4;4;2.0
atmosphere;57;131;131;5.035683666117179
atom;258;718;718;6.647172663710712
atonement;8;9;9;2.9477027792200903
atrocity;10;10;10;3.321928094887362
atrophy;21;24;24;4.303508854797679
attachment;25;36;36;4.382021446536748
attack;153;342;342;6.19834544239627
attacker;6;12;12;2.221251836004466
attainment;4;7;7;1.9502120649147472
attempt;208;531;531;6.559323718555745
attendance;25;30;30;4.548394345536403
attendant;13;17;17;3.6168746059562227
attendees;8;8;8;3.0
attention;87;159;159;5.971025487394663
attire;12;14;14;3.521640636343319
attitude;77;121;121;5.916918663887185
attorney;15;17;17;3.8521687236032816
attraction;33;57;57;4.7466418218683595
attribute;46;63;63;5.256897733257788
attribution;6;7;7;2.5216406363433186
attrition;11;13;13;3.3927474104487847
auction;18;25;25;3.9238561897747237
audience;84;164;164;5.509720695860852
audio;28;37;37;4.668912825088409
audit;6;6;6;2.584962500721156
auditorium;6;8;8;2.5
aunt;20;24;24;4.251629167387824
aurochs;4;4;4;2.0
auspices;3;11;11;1.5726236638951638
authenticity;11;14;14;3.378783493486176
author;187;415;415;6.38312573393397
authority;196;326;326;6.947615933447776
authorization;4;5;5;1.9219280948873623
authorship;22;33;33;4.271370634378849
auto;6;7;7;2.5216406363433186
autobiography;18;35;35;3.772598918220279
autogyro;9;10;10;3.121928094887362
automaton;10;11;11;3.2776134368191165
automobile;20;26;26;4.085055102756477
automorphism;10;14;14;3.182005814760214
automorphisms;15;28;28;3.7498677622562906
autonomy;36;46;46;4.993898304391787
autumn;10;44;44;2.3778867313886063
auxiliary;11;12;12;3.4182958340544896
availability;20;34;34;3.8138461086383844
avens;3;3;3;1.584962500721156
average;37;114;114;4.47324466920496
aviation;35;49;49;4.923397538382
awakening;8;11;11;2.845350936622437
award;124;298;298;5.8915509539824225
awareness;26;33;33;4.5366702556565315
awk;17;19;19;4.0374011976541135
axe;17;20;20;4.021928094887362
axiom;117;306;306;5.376088184413524
axis;35;67;67;4.468782473910697
axon;35;56;56;4.670770270419311
ayn;4;4;4;2.0
azamaide;2;2;2;1.0
aziridine;4;4;4;2.0
baby;11;12;12;3.418295834054489
bach;13;19;19;3.47135448701393
bachelor;9;11;11;3.0957952550009344
back;43;86;86;4.862571011503784
backbone;16;32;32;3.4126878900165245
backdrop;10;13;13;3.180832987205441
backer;5;5;5;2.3219280948873626
background;57;91;91;5.379937042958972
backing;13;19;19;3.5368867237421693
backlash;8;12;12;2.918295834054489
backlit;2;5;5;0.9709505944546688
backpack;7;9;9;2.725480556997868
backup;10;15;15;3.106890595608519
bacteria;54;88;88;5.129924308346589
bacteriocins;5;6;6;2.2516291673878226
bacterium;12;13;13;3.5465935642949384
bad;10;13;13;3.085055102756477
badge;20;28;28;4.012188403968661
badlands;4;4;4;2.0
bag;19;27;27;3.9302703722934553
bail;4;5;5;1.9219280948873623
bakehouse;6;6;6;2.584962500721156
baker;11;13;13;3.3927474104487847
bakery;7;7;7;2.807354922057604
balance;34;51;51;4.748515234544759
ball;39;53;53;5.003271927080806
ballad;10;12;12;3.188721875540867
balloon;25;31;31;4.567099536193327
ballot;10;16;16;3.1556390622295662
ban;33;44;44;4.879664004902592
band;106;154;154;6.17786829755391
bandwidth;7;7;7;2.807354922057604
bang;5;5;5;2.3219280948873626
banger;4;4;4;2.0
banishment;9;9;9;3.169925001442312
bank;106;216;216;5.76832627713053
banking;18;31;31;3.7113148583552356
banknote;9;13;13;3.0269868333592873
bankruptcy;8;9;9;2.94770277922009
banner;7;8;8;2.75
banquet;17;23;23;3.9361804341297555
baptism;5;5;5;2.3219280948873626
bar;27;43;43;4.3906990567258
barbarian;9;9;9;3.169925001442312
barbarism;7;7;7;2.807354922057604
bargain;7;10;10;2.5219280948873624
barge;6;7;7;2.521640636343318
bark;5;7;7;2.235926350629033
barley;10;14;14;3.182005814760214
barn;9;9;9;3.169925001442312
baron;17;23;23;3.844881935429326
baroque;6;7;7;2.5216406363433186
barrack;6;6;6;2.584962500721156
barrel;10;11;11;3.2776134368191165
barren;3;5;5;1.3709505944546687
barrier;41;58;58;5.099805677006244
bars;14;16;16;3.702819531114783
base;131;288;288;6.110719668670109
baseball;9;11;11;3.027169118440619
basement;3;5;5;1.5219280948873624
basic;25;36;36;4.350209029099896
basicity;7;7;7;2.807354922057604
basics;5;7;7;2.1280852788913944
basil;9;9;9;3.169925001442312
basilica;11;13;13;3.3927474104487847
basin;64;141;141;4.918197565294364
basis;82;312;312;4.628552723526103
basketball;5;5;5;2.3219280948873626
bath;17;24;24;3.9072682296173897
batsmen;9;11;11;3.0957952550009344
