label;nz;tf;TF;entropy
A:subj-R:N:meaningful;2;2;2;1.0
A:subj-R:N:metabolised;2;2;2;1.0
A:subj-R:N:metallic;2;2;2;1.0
A:subj-R:N:mild;2;2;2;1.0
A:subj-R:N:miscible;3;3;3;1.584962500721156
A:subj-R:N:mistaken;2;2;2;1.0
A:subj-R:N:monophyletic;2;2;2;1.0
A:subj-R:N:more;5;5;5;2.3219280948873626
A:subj-R:N:mountainous;2;2;2;1.0
A:subj-R:N:moved;4;5;5;1.9219280948873625
A:subj-R:N:narrow;2;2;2;1.0
A:subj-R:N:native;1;1;1;0.0
A:subj-R:N:navigable;3;3;3;1.584962500721156
A:subj-R:N:necessary;17;19;19;3.9976702764876153
A:subj-R:N:negative;2;2;2;1.0
A:subj-R:N:negligible;3;3;3;1.584962500721156
A:subj-R:N:neutral;2;3;3;0.9182958340544896
A:subj-R:N:new;4;4;4;2.0
A:subj-R:N:nontoxic;2;3;3;0.9182958340544896
A:subj-R:N:northeast;2;2;2;1.0
A:subj-R:N:notable;5;5;5;2.3219280948873626
A:subj-R:N:numerous;4;4;4;2.0
A:subj-R:N:obscure;2;2;2;1.0
A:subj-R:N:obsolete;2;2;2;1.0
A:subj-R:N:older;3;3;3;1.584962500721156
A:subj-R:N:only;11;12;12;3.4182958340544896
A:subj-R:N:open;8;8;8;3.0
A:subj-R:N:operational;2;4;4;0.8112781244591328
A:subj-R:N:over;9;9;9;3.169925001442312
A:subj-R:N:paraphyletic;2;2;2;1.0
A:subj-R:N:patentable;1;2;2;0.0
A:subj-R:N:physical;2;2;2;1.0
A:subj-R:N:plentiful;1;1;1;0.0
A:subj-R:N:political;3;3;3;1.584962500721156
A:subj-R:N:poorly;2;2;2;1.0
A:subj-R:N:popular;17;18;18;4.058813890331201
A:subj-R:N:populous;2;2;2;1.0
A:subj-R:N:positive;3;3;3;1.584962500721156
A:subj-R:N:possible;17;17;17;4.08746284125034
A:subj-R:N:powerful;6;6;6;2.584962500721156
A:subj-R:N:practical;2;2;2;1.0
A:subj-R:N:pregnant;2;2;2;1.0
A:subj-R:N:present;21;23;23;4.349648912578752
A:subj-R:N:problematic;3;3;3;1.584962500721156
A:subj-R:N:productive;2;2;2;1.0
A:subj-R:N:prone;2;2;2;1.0
A:subj-R:N:proportional;6;6;6;2.584962500721156
A:subj-R:N:prosperous;2;2;2;1.0
A:subj-R:N:proud;2;2;2;1.0
A:subj-R:N:provable;4;4;4;2.0
A:subj-R:N:questionable;3;3;3;1.584962500721156
A:subj-R:N:radioactive;2;3;3;0.9182958340544896
A:subj-R:N:rare;17;19;19;4.0374011976541135
A:subj-R:N:reactive;5;6;6;2.2516291673878226
A:subj-R:N:ready;9;10;10;3.1219280948873624
A:subj-R:N:recognizable;1;1;1;0.0
A:subj-R:N:recovered;6;6;6;2.584962500721156
A:subj-R:N:related;8;9;9;2.9477027792200903
A:subj-R:N:reliable;3;3;3;1.584962500721156
A:subj-R:N:reluctant;3;3;3;1.584962500721156
A:subj-R:N:remarkable;2;2;2;1.0
A:subj-R:N:removed;6;6;6;2.584962500721156
A:subj-R:N:resistant;3;3;3;1.584962500721156
A:subj-R:N:responsible;28;35;35;4.65057194545458
A:subj-R:N:rich;7;7;7;2.807354922057604
A:subj-R:N:rife;2;2;2;1.0
A:subj-R:N:safe;5;5;5;2.3219280948873626
A:subj-R:N:scarce;1;1;1;0.0
A:subj-R:N:sensitive;2;2;2;1.0
A:subj-R:N:separated;2;2;2;1.0
A:subj-R:N:serious;2;2;2;1.0
A:subj-R:N:severe;4;5;5;1.9219280948873623
A:subj-R:N:short;6;6;6;2.584962500721156
A:subj-R:N:significant;6;6;6;2.584962500721156
A:subj-R:N:similar;29;35;35;4.683293289103912
A:subj-R:N:simple;3;3;3;1.584962500721156
A:subj-R:N:skeptical;2;2;2;1.0
A:subj-R:N:slow;7;7;7;2.807354922057604
A:subj-R:N:small;19;20;20;4.221928094887362
A:subj-R:N:smaller;3;3;3;1.584962500721156
A:subj-R:N:soft;2;2;2;1.0
A:subj-R:N:soluble;2;2;2;1.0
A:subj-R:N:spent;2;2;2;1.0
A:subj-R:N:spurious;2;2;2;1.0
A:subj-R:N:stable;5;5;5;2.3219280948873626
A:subj-R:N:strict;2;2;2;1.0
A:subj-R:N:strong;21;25;25;4.243856189774723
A:subj-R:N:subject;22;26;26;4.3637132757501895
A:subj-R:N:successful;14;15;15;3.773557262275185
A:subj-R:N:sufficient;9;9;9;3.169925001442312
A:subj-R:N:suitable;4;6;6;1.9182958340544896
A:subj-R:N:superior;2;2;2;1.0
A:subj-R:N:susceptible;2;2;2;1.0
A:subj-R:N:symmetrical;2;2;2;1.0
A:subj-R:N:tantamount;2;2;2;1.0
A:subj-R:N:then;16;17;17;3.969815782426811
A:subj-R:N:thin;2;2;2;1.0
A:subj-R:N:tired;2;2;2;1.0
A:subj-R:N:touched;2;2;2;1.0
A:subj-R:N:toxic;6;7;7;2.5216406363433186
A:subj-R:N:traceable;2;2;2;1.0
A:subj-R:N:transparent;2;2;2;1.0
A:subj-R:N:true;15;28;28;3.3082774773777075
A:subj-R:N:turned;3;4;4;1.5
A:subj-R:N:twofold;2;2;2;1.0
A:subj-R:N:typical;4;4;4;2.0
A:subj-R:N:unable;21;25;25;4.293660689688185
A:subj-R:N:unavailable;2;2;2;1.0
A:subj-R:N:uncertain;13;16;16;3.577819531114783
A:subj-R:N:unclear;3;3;3;1.584962500721156
A:subj-R:N:uncommon;2;2;2;1.0
A:subj-R:N:undeniable;2;2;2;1.0
A:subj-R:N:underrepresented;2;2;2;1.0
A:subj-R:N:underway;3;3;3;1.584962500721156
A:subj-R:N:unhappy;2;2;2;1.0
A:subj-R:N:unique;6;6;6;2.584962500721156
A:subj-R:N:united;2;2;2;1.0
A:subj-R:N:unlikely;4;4;4;2.0
A:subj-R:N:unreliable;6;6;6;2.584962500721156
A:subj-R:N:unsatisfied;2;2;2;1.0
A:subj-R:N:unsigned;2;2;2;1.0
A:subj-R:N:unstable;3;3;3;1.584962500721156
A:subj-R:N:unsuccessful;3;4;4;1.5
A:subj-R:N:unsuitable;3;3;3;1.584962500721156
A:subj-R:N:unusual;5;5;5;2.3219280948873626
A:subj-R:N:unveiled;4;6;6;1.7924812503605778
A:subj-R:N:used;137;207;207;6.656209214153508
A:subj-R:N:useful;11;11;11;3.459431618637298
A:subj-R:N:useless;3;3;3;1.584962500721156
A:subj-R:N:vague;4;4;4;2.0
A:subj-R:N:valid;4;4;4;2.0
A:subj-R:N:valuable;2;2;2;1.0
A:subj-R:N:vast;2;2;2;1.0
A:subj-R:N:victorious;2;2;2;1.0
A:subj-R:N:visible;6;6;6;2.584962500721156
A:subj-R:N:volcanic;2;2;2;1.0
A:subj-R:N:warm;2;3;3;0.9182958340544896
A:subj-R:N:weak;4;5;5;1.9219280948873623
A:subj-R:N:well;4;4;4;2.0
A:subj-R:N:wide;4;4;4;2.0
A:subj-R:N:widespread;7;7;7;2.807354922057604
A:subj-R:N:willing;3;3;3;1.584962500721156
A:subj-R:N:worshipped;2;2;2;1.0
A:subj-R:N:worth;4;4;4;2.0
A:subj-R:N:wrong;2;2;2;1.0
A:subj-R:N:young;3;3;3;1.584962500721156
As:pcomp-n-R:N:as;4;4;4;2.0
As:subj-R:N:as;20;24;24;4.220175521464345
C:mod-R:N:fin;24;243;243;3.25652860309787
C:subj-R:N:fin;92;149;149;6.185911829333294
C:subj-R:N:inf;103;153;153;6.382287741961068
C:subj-R:N:vpsc;17;18;18;4.058813890331201
C:subj-in-R:N:vpsc;2;2;2;1.0
C:whn-R:N:fin;211;4688;4688;2.6004167091668187
C:whn-R:N:inf;8;11;11;2.845350936622437
C:whn-R:N:vpsc;7;10;10;2.521928094887363
N:amount-value-R:N:bit;2;4;4;0.8112781244591328
N:amount-value-R:N:century;9;16;16;2.875
N:amount-value-R:N:day;4;10;10;1.7609640474436812
N:amount-value-R:N:days;13;46;46;2.8211083717380028
N:amount-value-R:N:decades;5;12;12;1.9508257945180887
N:amount-value-R:N:hours;2;2;2;1.0
N:amount-value-R:N:line;1;2;2;0.0
N:amount-value-R:N:mile;2;2;2;1.0
N:amount-value-R:N:minute;4;4;4;2.0
N:amount-value-R:N:minutes;6;11;11;2.550340709546388
N:amount-value-R:N:month;4;5;5;1.9219280948873623
N:amount-value-R:N:months;11;54;54;2.9051176605102826
N:amount-value-R:N:night;1;3;3;0.0
N:amount-value-R:N:times;12;29;29;3.106464184111324
N:amount-value-R:N:week;3;7;7;1.3787834934861758
N:amount-value-R:N:weeks;5;13;13;2.1339375660949167
N:amount-value-R:N:year;11;37;37;3.014453169311641
N:amount-value-R:N:years;21;166;166;3.746551547835245
N:amount-value:N:Eleven;2;2;2;1.0
N:amount-value:N:Fifteen;2;2;2;1.0
N:amount-value:N:Forty;2;2;2;1.0
N:amount-value:N:Four;2;4;4;1.0
N:amount-value:N:One;4;6;6;1.792481250360578
N:amount-value:N:Seven;2;2;2;1.0
N:amount-value:N:Seventh;1;6;6;0.0
N:amount-value:N:Six;2;2;2;1.0
N:amount-value:N:Three;4;13;13;1.8339272176418302
N:amount-value:N:Twenty;1;2;2;0.0
N:amount-value:N:Two;4;11;11;1.676737030052133
N:amount-value:N:eight;6;12;12;2.418295834054489
N:amount-value:N:eighteen;2;4;4;1.0
N:amount-value:N:eleven;4;7;7;1.9502120649147472
N:amount-value:N:fifteen;1;2;2;0.0
N:amount-value:N:fifty;1;7;7;0.0
N:amount-value:N:first;4;6;6;1.9182958340544893
N:amount-value:N:five;8;25;25;2.332878689342031
N:amount-value:N:forty;2;4;4;0.8112781244591328
N:amount-value:N:four;8;39;39;2.497481940041043
N:amount-value:N:hundred;1;3;3;0.0
N:amount-value:N:million;2;2;2;1.0
N:amount-value:N:nine;4;8;8;1.811278124459133
N:amount-value:N:nineteenth;1;2;2;0.0
N:amount-value:N:one;9;29;29;2.6366611405892777
N:amount-value:N:second;2;2;2;1.0
N:amount-value:N:seven;9;22;22;2.9585429818803033
N:amount-value:N:seventeenth;1;4;4;0.0
N:amount-value:N:six;10;34;34;2.556349417398283
N:amount-value:N:ten;7;33;33;2.007412369062846
